2022-03-03 02:01:45.520115 : Step: 5/75000, accuracy: 0.000000, cls loss: 0.901925, bbox loss: 3908.132471,Landmark loss :6957.366406,L2 loss: 4.927807, Total Loss: 8917.262374 ,lr:0.000010 
2022-03-03 02:01:49.150980 : Step: 10/75000, accuracy: 0.000000, cls loss: 1.116709, bbox loss: 3848.463086,Landmark loss :6713.521094,L2 loss: 4.930327, Total Loss: 8643.799673 ,lr:0.000010 
2022-03-03 02:01:52.658149 : Step: 15/75000, accuracy: 0.000000, cls loss: 4.261146, bbox loss: 3254.226074,Landmark loss :4714.079736,L2 loss: 4.951068, Total Loss: 6350.404987 ,lr:0.000010 
2022-03-03 02:01:56.246266 : Step: 20/75000, accuracy: 0.000000, cls loss: 14.789989, bbox loss: 903.498566,Landmark loss :2929.264343,L2 loss: 4.987041, Total Loss: 3400.790656 ,lr:0.000010 
2022-03-03 02:01:59.833897 : Step: 25/75000, accuracy: 0.000000, cls loss: 14.911217, bbox loss: 1408.057367,Landmark loss :2197.449243,L2 loss: 4.988246, Total Loss: 2921.377389 ,lr:0.000010 
2022-03-03 02:02:03.409961 : Step: 30/75000, accuracy: 0.000000, cls loss: 7.904704, bbox loss: 336.102753,Landmark loss :976.976001,L2 loss: 4.979950, Total Loss: 1157.912031 ,lr:0.000010 
2022-03-03 02:02:06.998684 : Step: 35/75000, accuracy: 0.000000, cls loss: 3.598417, bbox loss: 478.873630,Landmark loss :760.730219,L2 loss: 4.976319, Total Loss: 1008.741770 ,lr:0.000010 
2022-03-03 02:02:10.545455 : Step: 40/75000, accuracy: 0.444112, cls loss: 0.890512, bbox loss: 307.071124,Landmark loss :402.778967,L2 loss: 4.972939, Total Loss: 562.177980 ,lr:0.000010 
2022-03-03 02:02:14.157232 : Step: 45/75000, accuracy: 1.000000, cls loss: 0.174465, bbox loss: 191.100047,Landmark loss :340.999670,L2 loss: 4.967682, Total Loss: 441.691841 ,lr:0.000010 
2022-03-03 02:02:17.764954 : Step: 50/75000, accuracy: 1.000000, cls loss: 0.052257, bbox loss: 120.878351,Landmark loss :250.791748,L2 loss: 4.964508, Total Loss: 316.247688 ,lr:0.000010 
2022-03-03 02:02:21.371496 : Step: 55/75000, accuracy: 1.000000, cls loss: 0.020487, bbox loss: 109.934421,Landmark loss :179.330164,L2 loss: 4.960368, Total Loss: 239.278229 ,lr:0.000010 
2022-03-03 02:02:24.976236 : Step: 60/75000, accuracy: 1.000000, cls loss: 0.012482, bbox loss: 71.136877,Landmark loss :157.766257,L2 loss: 4.956520, Total Loss: 198.303697 ,lr:0.000010 
2022-03-03 02:02:28.624181 : Step: 65/75000, accuracy: 1.000000, cls loss: 0.010971, bbox loss: 53.703859,Landmark loss :137.455266,L2 loss: 4.952983, Total Loss: 169.271149 ,lr:0.000010 
2022-03-03 02:02:32.238042 : Step: 70/75000, accuracy: 1.000000, cls loss: 0.010366, bbox loss: 53.391895,Landmark loss :122.898390,L2 loss: 4.950201, Total Loss: 154.554905 ,lr:0.000010 
2022-03-03 02:02:35.826080 : Step: 75/75000, accuracy: 1.000000, cls loss: 0.009430, bbox loss: 44.476569,Landmark loss :112.758543,L2 loss: 4.948163, Total Loss: 139.954421 ,lr:0.000010 
