2022-03-03 16:47:57.829063 : Step: 5/25000, accuracy: 1.000000, cls loss: 0.000098, bbox loss: 2.824284,Landmark loss :4.527068,L2 loss: 0.440374, Total Loss: 6.379682 ,lr:0.000001 
2022-03-03 16:48:15.316402 : Step: 30/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.816835,Landmark loss :4.525094,L2 loss: 0.440376, Total Loss: 6.373986 ,lr:0.000001 
2022-03-03 16:48:43.000684 : Step: 70/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.822722,Landmark loss :4.502361,L2 loss: 0.440383, Total Loss: 6.354204 ,lr:0.000001 
2022-03-03 16:49:28.036134 : Step: 135/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.817077,Landmark loss :4.503636,L2 loss: 0.440394, Total Loss: 6.352668 ,lr:0.000001 
2022-03-03 16:52:08.551702 : Step: 365/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.819138,Landmark loss :4.493866,L2 loss: 0.440434, Total Loss: 6.343967 ,lr:0.000001 
2022-03-03 16:55:32.256385 : Step: 660/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.822670,Landmark loss :4.488965,L2 loss: 0.440484, Total Loss: 6.340883 ,lr:0.000001 
2022-03-03 16:59:39.637941 : Step: 1020/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.811415,Landmark loss :4.491369,L2 loss: 0.440543, Total Loss: 6.337719 ,lr:0.000001 
2022-03-03 17:03:02.783163 : Step: 1315/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.810753,Landmark loss :4.489986,L2 loss: 0.440592, Total Loss: 6.336053 ,lr:0.000001 
2022-03-03 17:09:47.470239 : Step: 1905/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.808364,Landmark loss :4.486850,L2 loss: 0.440688, Total Loss: 6.331819 ,lr:0.000001 
2022-03-03 17:13:10.452329 : Step: 2200/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.801986,Landmark loss :4.489313,L2 loss: 0.440735, Total Loss: 6.331140 ,lr:0.000001 
2022-03-03 17:14:05.167440 : Step: 2280/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.819101,Landmark loss :4.480221,L2 loss: 0.440748, Total Loss: 6.330619 ,lr:0.000001 
2022-03-03 17:17:26.793802 : Step: 2575/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.814942,Landmark loss :4.476298,L2 loss: 0.440795, Total Loss: 6.324663 ,lr:0.000001 
2022-03-03 17:20:48.182845 : Step: 2870/25000, accuracy: 1.000000, cls loss: 0.000099, bbox loss: 2.809311,Landmark loss :4.475240,L2 loss: 0.440842, Total Loss: 6.320837 ,lr:0.000001 
