2022-03-02 10:57:05.970979 : Step: 5/25000, accuracy: 1.000000, cls loss: 0.662846, bbox loss: 3794.013477,Landmark loss :6600.400488,L2 loss: 1.389706, Total Loss: 8499.459779 ,lr:0.001000 
2022-03-02 10:57:09.678096 : Step: 10/25000, accuracy: 1.000000, cls loss: 0.150607, bbox loss: 2301.438623,Landmark loss :2781.458936,L2 loss: 1.438885, Total Loss: 3933.767738 ,lr:0.001000 
2022-03-02 10:57:13.363434 : Step: 15/25000, accuracy: 1.000000, cls loss: 0.003867, bbox loss: 606.748077,Landmark loss :569.778009,L2 loss: 1.473917, Total Loss: 874.629831 ,lr:0.001000 
2022-03-02 10:57:17.071988 : Step: 20/25000, accuracy: 1.000000, cls loss: 0.001744, bbox loss: 277.286075,Landmark loss :409.957013,L2 loss: 1.481038, Total Loss: 550.082832 ,lr:0.001000 
2022-03-02 10:57:20.678706 : Step: 25/25000, accuracy: 1.000000, cls loss: 0.001126, bbox loss: 193.865555,Landmark loss :366.151404,L2 loss: 1.484341, Total Loss: 464.569648 ,lr:0.001000 
2022-03-02 10:57:24.397717 : Step: 30/25000, accuracy: 1.000000, cls loss: 0.000854, bbox loss: 170.251520,Landmark loss :343.878436,L2 loss: 1.486140, Total Loss: 430.491189 ,lr:0.001000 
2022-03-02 10:57:28.115357 : Step: 35/25000, accuracy: 1.000000, cls loss: 0.000712, bbox loss: 158.571429,Landmark loss :327.999109,L2 loss: 1.487195, Total Loss: 408.772731 ,lr:0.001000 
2022-03-02 10:57:31.764618 : Step: 40/25000, accuracy: 1.000000, cls loss: 0.000600, bbox loss: 150.747717,Landmark loss :315.467761,L2 loss: 1.487886, Total Loss: 392.330105 ,lr:0.001000 
2022-03-02 10:57:35.445448 : Step: 45/25000, accuracy: 1.000000, cls loss: 0.000537, bbox loss: 146.218710,Landmark loss :306.822473,L2 loss: 1.488357, Total Loss: 381.420722 ,lr:0.001000 
2022-03-02 10:57:39.118297 : Step: 50/25000, accuracy: 1.000000, cls loss: 0.000482, bbox loss: 141.518158,Landmark loss :298.879962,L2 loss: 1.488715, Total Loss: 371.128237 ,lr:0.001000 
2022-03-02 10:57:44.126742 : Step: 55/25000, accuracy: 1.000000, cls loss: 0.000452, bbox loss: 139.467294,Landmark loss :290.960632,L2 loss: 1.488906, Total Loss: 362.183638 ,lr:0.001000 
