2022-02-28 03:03:28.562689 : Step: 37/37000, accuracy: 0.638070, cls loss: 2.426399, bbox loss: 2417.593898,Landmark loss :4418.747146,L2 loss: 4.983754, Total Loss: 5634.954248 ,lr:0.000010 
2022-02-28 03:03:29.710923 : Step: 74/37000, accuracy: 0.830786, cls loss: 1.204105, bbox loss: 692.399838,Landmark loss :1189.310624,L2 loss: 4.996707, Total Loss: 1541.711356 ,lr:0.000010 
2022-02-28 03:03:30.811979 : Step: 111/37000, accuracy: 0.916736, cls loss: 0.510247, bbox loss: 346.537966,Landmark loss :539.493689,L2 loss: 4.981129, Total Loss: 718.254047 ,lr:0.000010 
2022-02-28 03:03:32.975344 : Step: 185/37000, accuracy: 0.953288, cls loss: 0.217172, bbox loss: 281.364551,Landmark loss :462.668120,L2 loss: 4.967618, Total Loss: 608.535185 ,lr:0.000010 
2022-02-28 03:03:34.577399 : Step: 222/37000, accuracy: 0.951323, cls loss: 0.246451, bbox loss: 253.630290,Landmark loss :473.712726,L2 loss: 4.963403, Total Loss: 605.737724 ,lr:0.000010 
2022-02-28 03:03:35.731205 : Step: 259/37000, accuracy: 0.961197, cls loss: 0.166011, bbox loss: 231.839019,Landmark loss :443.935857,L2 loss: 4.960268, Total Loss: 564.981645 ,lr:0.000010 
2022-02-28 03:03:38.914542 : Step: 370/37000, accuracy: 0.973550, cls loss: 0.114076, bbox loss: 227.975725,Landmark loss :432.932526,L2 loss: 4.955626, Total Loss: 551.990091 ,lr:0.000010 
2022-02-28 03:03:40.044674 : Step: 407/37000, accuracy: 0.985264, cls loss: 0.070167, bbox loss: 230.061090,Landmark loss :416.699212,L2 loss: 4.953907, Total Loss: 536.753831 ,lr:0.000010 
2022-02-28 03:03:46.412682 : Step: 629/37000, accuracy: 0.985228, cls loss: 0.052327, bbox loss: 224.982779,Landmark loss :416.764967,L2 loss: 4.951198, Total Loss: 534.259882 ,lr:0.000010 
2022-02-28 03:03:48.551367 : Step: 703/37000, accuracy: 0.986072, cls loss: 0.060888, bbox loss: 225.796422,Landmark loss :403.070774,L2 loss: 4.953082, Total Loss: 520.982955 ,lr:0.000010 
2022-02-28 03:03:55.977486 : Step: 962/37000, accuracy: 0.993922, cls loss: 0.023889, bbox loss: 218.952127,Landmark loss :383.403130,L2 loss: 4.955089, Total Loss: 497.858171 ,lr:0.000010 
2022-02-28 03:04:09.574296 : Step: 1443/37000, accuracy: 0.996311, cls loss: 0.016281, bbox loss: 210.046082,Landmark loss :378.184547,L2 loss: 4.962725, Total Loss: 488.186594 ,lr:0.000010 
2022-02-28 03:04:28.487110 : Step: 2109/37000, accuracy: 0.995788, cls loss: 0.014113, bbox loss: 200.588192,Landmark loss :364.689581,L2 loss: 4.950884, Total Loss: 469.948674 ,lr:0.000010 
