2022-02-28 03:44:52.390780 : Step: 37/370000, accuracy: 0.387105, cls loss: 4.002738, bbox loss: 2074.474516,Landmark loss :3825.800333,L2 loss: 4.984242, Total Loss: 4872.024570 ,lr:0.000010 
2022-02-28 03:44:53.599252 : Step: 74/370000, accuracy: 0.794887, cls loss: 1.070966, bbox loss: 317.384018,Landmark loss :576.656304,L2 loss: 4.982667, Total Loss: 741.401946 ,lr:0.000010 
2022-02-28 03:44:54.785411 : Step: 111/370000, accuracy: 0.895724, cls loss: 0.453106, bbox loss: 150.497333,Landmark loss :273.518665,L2 loss: 4.965842, Total Loss: 354.186280 ,lr:0.000010 
2022-02-28 03:44:55.949363 : Step: 148/370000, accuracy: 0.951554, cls loss: 0.205671, bbox loss: 129.979001,Landmark loss :229.107749,L2 loss: 4.957610, Total Loss: 299.260529 ,lr:0.000010 
2022-02-28 03:44:57.123372 : Step: 185/370000, accuracy: 0.975249, cls loss: 0.124298, bbox loss: 125.698674,Landmark loss :207.704801,L2 loss: 4.953689, Total Loss: 275.632125 ,lr:0.000010 
2022-02-28 03:44:58.303421 : Step: 222/370000, accuracy: 0.974947, cls loss: 0.094460, bbox loss: 114.216624,Landmark loss :196.173042,L2 loss: 4.951237, Total Loss: 258.327052 ,lr:0.000010 
2022-02-28 03:44:59.489364 : Step: 259/370000, accuracy: 0.991290, cls loss: 0.039105, bbox loss: 106.233745,Landmark loss :194.567024,L2 loss: 4.949981, Total Loss: 252.672981 ,lr:0.000010 
2022-02-28 03:45:00.665768 : Step: 296/370000, accuracy: 0.990574, cls loss: 0.036914, bbox loss: 104.971864,Landmark loss :183.713685,L2 loss: 4.949033, Total Loss: 241.185565 ,lr:0.000010 
2022-02-28 03:45:01.850473 : Step: 333/370000, accuracy: 0.986951, cls loss: 0.046073, bbox loss: 92.992275,Landmark loss :168.921074,L2 loss: 4.949262, Total Loss: 220.412547 ,lr:0.000010 
2022-02-28 03:45:09.803479 : Step: 592/370000, accuracy: 0.994044, cls loss: 0.025731, bbox loss: 89.515886,Landmark loss :160.759147,L2 loss: 4.946118, Total Loss: 210.488939 ,lr:0.000010 
2022-02-28 03:45:13.220841 : Step: 703/370000, accuracy: 0.993805, cls loss: 0.021758, bbox loss: 87.993765,Landmark loss :155.516048,L2 loss: 4.944218, Total Loss: 204.478907 ,lr:0.000010 
2022-02-28 03:45:15.533165 : Step: 777/370000, accuracy: 0.995013, cls loss: 0.023613, bbox loss: 86.173704,Landmark loss :156.340182,L2 loss: 4.945615, Total Loss: 204.396261 ,lr:0.000010 
2022-02-28 03:45:22.262920 : Step: 999/370000, accuracy: 0.998388, cls loss: 0.008867, bbox loss: 78.849171,Landmark loss :155.990289,L2 loss: 4.946104, Total Loss: 200.369845 ,lr:0.000010 
2022-02-28 03:45:23.473779 : Step: 1036/370000, accuracy: 0.999270, cls loss: 0.007987, bbox loss: 81.320563,Landmark loss :152.502169,L2 loss: 4.946108, Total Loss: 198.116546 ,lr:0.000010 
